n_steps,epoch,train_loss
255000,19.46,0.576
255500,19.5,0.5759
256000,19.54,0.5761
256500,19.58,0.5736
257000,19.62,0.5769
257500,19.65,0.5772
258000,19.69,0.5743
258500,19.73,0.5738
259000,19.77,0.5767
259500,19.81,0.5746
260000,19.85,0.5729
260500,19.88,0.5734
261000,19.92,0.5761
261500,19.96,0.5765
262000,20.0,0.5768
262500,20.04,0.5709
263000,20.07,0.5719
263500,20.11,0.5709
264000,20.15,0.5706
264500,20.19,0.5683
265000,20.23,0.571
265500,20.27,0.5715
266000,20.3,0.5719
266500,20.34,0.5718
267000,20.38,0.5717
267500,20.42,0.5702
268000,20.46,0.5724
268500,20.49,0.571
269000,20.53,0.5727
269500,20.57,0.5744
270000,20.61,0.574
270500,20.65,0.5735
271000,20.69,0.5748
271500,20.72,0.5733
272000,20.76,0.5736
272500,20.8,0.5717
273000,20.84,0.5714
273500,20.88,0.5709
274000,20.91,0.5751
274500,20.95,0.5725
275000,20.99,0.5722
275500,21.03,0.572
276000,21.07,0.5703
276500,21.11,0.5691
277000,21.14,0.5682
277500,21.18,0.5659
278000,21.22,0.5691
278500,21.26,0.5697
279000,21.3,0.5703
279500,21.33,0.57
280000,21.37,0.5697
280500,21.41,0.5696
281000,21.45,0.5717
281500,21.49,0.5668
282000,21.53,0.5703
282500,21.56,0.5696
283000,21.6,0.5701
283500,21.64,0.5695
284000,21.68,0.5702
284500,21.72,0.5713
285000,21.75,0.5683
285500,21.79,0.5678
286000,21.83,0.5715
286500,21.87,0.5712
287000,21.91,0.5691
287500,21.94,0.5697
288000,21.98,0.5713
288500,22.02,0.5675
289000,22.06,0.5641
289500,22.1,0.568
290000,22.14,0.5674
290500,22.17,0.5669
291000,22.21,0.5665
291500,22.25,0.5671
292000,22.29,0.5668
292500,22.33,0.5683
293000,22.36,0.5679
293500,22.4,0.568
294000,22.44,0.5675
294500,22.48,0.5689
295000,22.52,0.5673
295500,22.56,0.5679
296000,22.59,0.5677
296500,22.63,0.5689
297000,22.67,0.5687
297500,22.71,0.5674
298000,22.75,0.5701
298500,22.78,0.5695
299000,22.82,0.5681
299500,22.86,0.5676
300000,22.9,0.5689
